"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"75","Skeletal System Development (GO:0001501)","8/149",0.00263622904869402,0.0693145629276441,0,0,3.58823934448805,21.3084212403397,"GDF10;TGFB2;FRZB;WNT5A;RFLNB;PITX1;MATN3;FBN1"
"76","Cellular Response To Molecule Of Bacterial Origin (GO:0071219)","7/117",0.00263966306421159,0.0693145629276441,0,0,4.01791788856305,23.8547963564545,"CXCL10;WNT5A;ANKRD1;CCL2;CXCL1;VIM;CXCL2"
"77","Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992)","3/18",0.00269746328634674,0.0693145629276441,0,0,12.5273885350318,74.1050587204398,"NTRK2;PRNP;CLU"
"78","Positive Regulation Of Chromosome Segregation (GO:0051984)","3/18",0.00269746328634674,0.0693145629276441,0,0,12.5273885350318,74.1050587204398,"CDK1;CDC6;SMC2"
"79","Protein Localization To Chromosome, Centromeric Region (GO:0071459)","3/18",0.00269746328634674,0.0693145629276441,0,0,12.5273885350318,74.1050587204398,"CDK1;TTK;KNL1"
"80","Neuron Development (GO:0048666)","8/150",0.00274736887147253,0.0697144851136154,0,0,3.56278772961393,21.0101568462001,"CNTNAP2;NTRK2;TGFB2;NPY;WNT5A;DMD;LAMB1;ASCL1"
"81","Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)","5/61",0.00279151189666122,0.0699601129657072,0,0,5.61670100732601,33.0327843117895,"GDF10;TGFB2;DAB2;PMEPA1;TTK"
"82","Positive Regulation Of Angiogenesis (GO:0045766)","7/119",0.00290299316541553,0.0718667820218722,0,0,3.94576612903226,23.0512168166129,"ANXA3;WNT5A;FGF18;EMP2;VEGFD;THBS1;RHOB"
"83","Response To Transforming Growth Factor Beta (GO:0071559)","4/38",0.00298960617966348,0.0731192836712874,0,0,7.385453862056,42.9287896548612,"WNT5A;ANKRD1;NR3C1;MXRA5"
"84","Embryonic Digestive Tract Development (GO:0048566)","3/19",0.00316595249128915,0.0732822696668958,0,0,11.7438296178344,67.5892781430191,"TGFB2;SALL1;ID2"
"85","Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)","5/63",0.00321466982544584,0.0732822696668958,0,0,5.42246905393457,31.1251384311645,"CDC20;RRM1;RGCC;CDK1;DLGAP5"
"86","Epithelium Development (GO:0060429)","8/154",0.00322898581689964,0.0732822696668958,0,0,3.46446779270293,19.870757056062,"SALL1;KRT17;LHX1;AKR1C1;CDK1;TAGLN2;VCL;CTSB"
"87","Negative Regulation Of Cell-Substrate Adhesion (GO:0010812)","4/39",0.00329028845081777,0.0732822696668958,0,0,7.1740757644911,41.0126131576099,"SPRY4;EFNA5;THBS1;CORO2B"
"88","Cellular Response To Lipid (GO:0071396)","10/228",0.00358181994056884,0.0732822696668958,0,0,2.90843618324717,16.3799759164325,"CXCL10;WNT5A;ANKRD1;ATP1A3;CCL2;ADCY2;CXCL1;VIM;NR3C1;CXCL2"
"89","Bleb Assembly (GO:0032060)","2/6",0.00360155059380984,0.0732822696668958,0,0,31.2365079365079,175.74880105773,"PMP22;EMP2"
"90","Regulation Of Skeletal Muscle Satellite Cell Proliferation (GO:0014842)","2/6",0.00360155059380984,0.0732822696668958,0,0,31.2365079365079,175.74880105773,"ANGPT1;EPHB1"
"91","Cellular Response To Caffeine (GO:0071313)","2/6",0.00360155059380984,0.0732822696668958,0,0,31.2365079365079,175.74880105773,"CASQ2;SLC8A1"
"92","Response To Caffeine (GO:0031000)","2/6",0.00360155059380984,0.0732822696668958,0,0,31.2365079365079,175.74880105773,"CASQ2;SLC8A1"
"93","Glandular Epithelial Cell Development (GO:0002068)","2/6",0.00360155059380984,0.0732822696668958,0,0,31.2365079365079,175.74880105773,"CDK6;PAX6"
"94","Hindlimb Morphogenesis (GO:0035137)","2/6",0.00360155059380984,0.0732822696668958,0,0,31.2365079365079,175.74880105773,"OSR2;TFAP2B"
"95","Maintenance Of Protein Location In Extracellular Region (GO:0071694)","2/6",0.00360155059380984,0.0732822696668958,0,0,31.2365079365079,175.74880105773,"LTBP1;FBN1"
"96","Pituitary Gland Development (GO:0021983)","2/6",0.00360155059380984,0.0732822696668958,0,0,31.2365079365079,175.74880105773,"SOX3;SALL1"
"97","Regulation Of Endothelial Cell Proliferation (GO:0001936)","6/93",0.00363496611273811,0.0732822696668958,0,0,4.34549284843109,24.4093090126369,"RGCC;ANGPT1;WNT5A;FGF18;VEGFD;THBS1"
"98","Cellular Response To Lipopolysaccharide (GO:0071222)","7/124",0.00364942052079168,0.0732822696668958,0,0,3.77617866004963,21.1963965315882,"CXCL10;WNT5A;ANKRD1;CCL2;CXCL1;VIM;CXCL2"
"99","Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167)","7/124",0.00364942052079168,0.0732822696668958,0,0,3.77617866004963,21.1963965315882,"NPPC;ZAP70;NTRK2;SHC2;DOK5;ALKAL2;IL6ST"
"100","Regulation Of Meiotic Cell Cycle (GO:0051445)","3/20",0.0036813299938514,0.0732822696668958,0,0,11.0524541026602,61.9432710191525,"CDC20;NPPC;DUSP1"
"101","Response To Ketone (GO:1901654)","3/20",0.0036813299938514,0.0732822696668958,0,0,11.0524541026602,61.9432710191525,"TGFB2;SLIT1;THBS1"
"102","Regulation Of Cell-Matrix Adhesion (GO:0001952)","5/65",0.00368216330345979,0.0732822696668958,0,0,5.2411858974359,29.372941460922,"CDK6;EMP2;EFNA5;THBS1;VCL"
"103","Muscle Contraction (GO:0006936)","6/94",0.0038322685643976,0.0755291765604576,0,0,4.29589301373867,23.9036303508774,"SGCA;MYL1;CASQ2;SLC8A1;TRDN;TTN"
"104","Regulation Of Gene Expression (GO:0010468)","30/1127",0.00389645598914707,0.0760558236343131,0,0,1.77100041608568,9.82495750786883,"PRKAA2;ILDR2;ASCL1;NR3C1;CLU;SLC8A1;ACTG2;TTN;SOX7;OSR2;NTRK2;TGFB2;FOXD1;ANGPT1;WNT5A;AHNAK2;PAX6;ANK3;MYT1;TAPBP;ACTA2;CLDN5;CDK6;RGCC;KRT17;ID2;LHX1;HAND2;FGF18;PHF19"
"105","Positive Regulation Of Apoptotic Process (GO:0043065)","11/270",0.00402926659249779,0.0773200141411427,0,0,2.69593963711611,14.8658719128234,"PRNP;TFAP2B;TGFB2;FRZB;ANKRD1;HTRA1;PMAIP1;CLU;SQSTM1;DUSP6;RHOB"
"106","Positive Regulation Of Epithelial Cell Migration (GO:0010634)","6/95",0.00403739975318282,0.0773200141411427,0,0,4.24740778207305,23.4123675781145,"TGFB2;ANGPT1;ANXA3;WNT5A;THBS1;RHOB"
"107","Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)","6/96",0.00425054409668863,0.0806411637035319,0,0,4.2,22.934974782257,"GDF10;CLDN5;TGFB2;WNT5A;ANKRD1;NR3C1"
"108","Cellular Response To Glucose Starvation (GO:0042149)","4/42",0.00431446961727337,0.0810960492876383,0,0,6.60669244997478,35.9785994111955,"NUAK1;PRKAA2;SESN3;PMAIP1"
"109","Negative Regulation Of Apoptotic Process (GO:0043066)","16/482",0.00455053852555781,0.0847485615310308,0,0,2.19206365049264,11.8207244889991,"TFAP2B;NTRK2;PRKAA2;ANGPT1;UNC5B;WNT5A;IFI6;FHL2;ASCL1;CLU;THBS1;DAB2;CDK1;CCL2;IL6ST;IER3"
"110","Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)","4/43",0.00469857991117782,0.08592898396118,0,0,6.43696239862374,34.5053045114925,"RGCC;ANGPT1;CCL2;THBS1"
"111","Learning (GO:0007612)","4/43",0.00469857991117782,0.08592898396118,0,0,6.43696239862374,34.5053045114925,"CNTNAP2;NTRK2;CLDN5;NRXN3"
"112","Cellular Response To Calcium Ion (GO:0071277)","5/69",0.00476012634644141,0.0862772900292506,0,0,4.91261017628205,26.270089910762,"SYT4;PRKAA2;SYT1;WNT5A;CLU"
"113","Collecting Duct Development (GO:0072044)","2/7",0.00498950477534689,0.0863382423774799,0,0,24.9879365079365,132.446523881102,"TFAP2B;DACT2"
"114","Intermediate Filament Bundle Assembly (GO:0045110)","2/7",0.00498950477534689,0.0863382423774799,0,0,24.9879365079365,132.446523881102,"NEFL;NEFM"
"115","Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043)","2/7",0.00498950477534689,0.0863382423774799,0,0,24.9879365079365,132.446523881102,"TGFB2;EMP2"
"116","Positive Regulation Of Membrane Potential (GO:0045838)","2/7",0.00498950477534689,0.0863382423774799,0,0,24.9879365079365,132.446523881102,"GLRX;ANK3"
"117","Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316)","2/7",0.00498950477534689,0.0863382423774799,0,0,24.9879365079365,132.446523881102,"CALM2;TRDN"
"118","Sensory Organ Development (GO:0007423)","5/70",0.0050612073117833,0.0863382423774799,0,0,4.83678500986193,25.5679721680439,"SOX3;TGFB2;PAX6;ASCL1;NEUROG2"
"119","Neutrophil Chemotaxis (GO:0030593)","5/70",0.0050612073117833,0.0863382423774799,0,0,4.83678500986193,25.5679721680439,"CXCL10;TGFB2;CCL2;CXCL1;CXCL2"
"120","Epithelial Cell Differentiation (GO:0030855)","7/132",0.00513642996211873,0.0868912735258418,0,0,3.53305806451613,18.6241516847045,"DAB2;KRT17;AKR1C1;CDK1;TAGLN2;ASCL1;CTSB"
"121","Regulation Of Extracellular Matrix Organization (GO:1903053)","3/23",0.00552205525477859,0.0904013884451657,0,0,9.39315286624204,48.8350502129913,"LAMA2;LAMB1;NID1"
"122","Positive Regulation Of Epithelial Cell Apoptotic Process (GO:1904037)","3/23",0.00552205525477859,0.0904013884451657,0,0,9.39315286624204,48.8350502129913,"RGCC;CCL2;THBS1"
"123","Positive Regulation Of Neuron Apoptotic Process (GO:0043525)","3/23",0.00552205525477859,0.0904013884451657,0,0,9.39315286624204,48.8350502129913,"PRNP;TFAP2B;TGFB2"
"124","Regulation Of Cardiac Muscle Hypertrophy (GO:0010611)","3/23",0.00552205525477859,0.0904013884451657,0,0,9.39315286624204,48.8350502129913,"HAND2;IL6ST;LMCD1"
"125","Negative Regulation Of Cellular Process (GO:0048523)","17/537",0.00558665157047935,0.0907272215045846,0,0,2.08827564102564,10.8326692183573,"TFAP2B;TGFB2;ANGPT1;DUSP1;CXCL1;CDC6;CLU;THBS1;RHOB;FABP3;CDK6;RGCC;FRZB;DACT2;SLIT1;SOX7;TNFRSF21"
"126","Cellular Response To Metal Ion (GO:0071248)","7/135",0.00579764123650089,0.0934064421436255,0,0,3.44972278225806,17.7671214842282,"PRNP;SYT4;PRKAA2;SYT1;WNT5A;ANK3;CLU"
"127","Myofibril Assembly (GO:0030239)","4/46",0.00598715680573312,0.0957002229577813,0,0,5.97626654495664,30.5873607048434,"CSRP1;TNNT3;ANKRD1;TTN"
"128","Granulocyte Chemotaxis (GO:0071621)","5/73",0.00604514959572708,0.0958722943697342,0,0,4.62269042232278,23.6150096225732,"CXCL10;TGFB2;CCL2;CXCL1;CXCL2"
"129","Gliogenesis (GO:0042063)","3/24",0.00623775510899134,0.0966613959637589,0,0,8.94540491355778,45.4170276557247,"TGFB2;CDK6;CD9"
